Score,Coalition
2678.2846546338933,"['Ireland', 'Greece', 'Korea, Republic of', 'Sri Lanka', 'Tunisia', ""Korea, Democratic People's Republic""]"
2650.7519573295567,"['Tunisia', 'Nigeria', 'Korea, Republic of', 'Ireland', 'Greece', 'Georgia']"
2650.7519573295567,"['Nigeria', 'Korea, Republic of', 'Tunisia', 'Ireland', 'Greece', 'Georgia']"
2638.2617680771564,"['Malaysia', 'Korea, Republic of', 'Greece', 'Ireland', 'Tunisia', ""Korea, Democratic People's Republic""]"
2638.2617680771555,"['Korea, Republic of', 'Malaysia', 'Greece', 'Ireland', 'Tunisia', ""Korea, Democratic People's Republic""]"
2632.9570917985398,"['Uruguay', 'Sri Lanka', 'Paraguay', 'Tunisia', 'Ireland', 'Greece']"
2624.0156546583994,"['Kenya', 'Korea, Republic of', 'Ireland', 'Greece', 'Tunisia', 'Malawi']"
2609.631148016551,"['Egypt', 'Korea, Republic of', 'Sri Lanka', 'Greece', 'Ireland', 'Georgia']"
2601.5729060267654,"['Mauritius', 'Korea, Republic of', 'Egypt', 'Greece', 'Ireland', 'Georgia']"
2601.3434742498557,"['Sri Lanka', 'Papua New Guinea', ""Korea, Democratic People's Republic"", 'Algeria', 'Greece', 'Ireland']"
2601.3434742498557,"['Papua New Guinea', 'Sri Lanka', ""Korea, Democratic People's Republic"", 'Algeria', 'Greece', 'Ireland']"
2601.3434742498557,"['Algeria', 'Sri Lanka', 'Papua New Guinea', ""Korea, Democratic People's Republic"", 'Greece', 'Ireland']"
2600.2527844633833,"[""Cote d'Ivoire"", 'Tunisia', 'Korea, Republic of', 'Ireland', 'Greece', 'Sao Tome and Principe']"
2591.6167006765736,"['Iceland', 'Sri Lanka', 'Korea, Republic of', 'Tunisia', 'Greece', 'Sao Tome and Principe']"
2588.9793636345503,"['Bahrain', 'Korea, Republic of', 'Greece', 'Ireland', 'Tunisia', 'Georgia']"
2588.9701239775673,"['Georgia', 'Maldives', 'Korea, Republic of', 'Ireland', 'Greece', 'Tunisia']"
2583.694441712781,"['Malta', 'Tunisia', 'Nigeria', 'Korea, Republic of', 'Ireland', 'Georgia']"
2581.4392604208356,"['Bahamas', 'Korea, Republic of', 'Ireland', 'Greece', 'Tunisia', 'Georgia']"
2577.828507978959,"['Ghana', 'Korea, Republic of', 'Egypt', 'Ireland', 'Greece', 'Georgia']"
2573.7916558687702,"['New Zealand', 'Sri Lanka', ""Korea, Democratic People's Republic"", 'Algeria', 'Greece', 'Ireland']"
2572.0377334432583,"['Pakistan', 'New Zealand', ""Korea, Democratic People's Republic"", 'Tunisia', 'Ireland', 'Greece']"
2570.100015890408,"['Benin', 'Guinea-Bissau', 'Ireland', 'Korea, Republic of', 'Greece', 'Tunisia']"
2570.037183805731,"['Saint Kitts and Nevis', 'Korea, Republic of', 'Morocco', 'Greece', 'Ireland', 'Georgia']"
2569.3308416882733,"['Liberia', 'Korea, Republic of', 'Egypt', 'Ireland', 'Greece', 'Malawi']"
2565.420722262432,"['Antigua and Barbuda', 'Korea, Republic of', 'Ireland', 'Greece', 'Tunisia', 'Georgia']"
2563.940778148147,"[""Korea, Democratic People's Republic"", 'Bangladesh', 'Papua New Guinea', 'Algeria', 'Greece', 'Ireland']"
2561.0448058072006,"['Afghanistan', 'Sri Lanka', 'Papua New Guinea', 'Algeria', 'Ireland', 'Greece']"
2559.470510374652,"['Jamaica', 'Paraguay', 'Uruguay', 'Tunisia', 'Ireland', 'Greece']"
2557.84902344675,"['Oman', 'Korea, Republic of', 'Egypt', 'Greece', 'Ireland', 'Georgia']"
2554.184946448823,"['Sudan', 'Djibouti', 'Egypt', 'Korea, Republic of', 'Ireland', 'Greece']"
2554.184946448823,"['Djibouti', 'Sudan', 'Egypt', 'Korea, Republic of', 'Ireland', 'Greece']"
2552.072948959026,"['Spain', 'Greece', 'Korea, Republic of', 'Morocco', 'Nigeria', 'Georgia']"
2552.072948959026,"['Greece', 'Spain', 'Korea, Republic of', 'Morocco', 'Nigeria', 'Georgia']"
2548.973851585055,"['Saint Lucia', 'Korea, Republic of', 'Ireland', 'Greece', 'Tunisia', 'Georgia']"
2548.972794664196,"['Singapore', 'Korea, Republic of', 'Greece', 'Ireland', 'Tunisia', 'Georgia']"
2546.3947888173866,"['Barbados', 'Korea, Republic of', 'Morocco', 'Ireland', 'Greece', 'Georgia']"
2544.238433679914,"['Iran', 'Korea, Republic of', 'Tunisia', 'Ireland', 'Greece', ""Korea, Democratic People's Republic""]"
2540.8207896876206,"['Sao Tome and Principe', 'Sri Lanka', 'Papua New Guinea', 'Algeria', 'Iceland', 'Greece']"
2539.852733579337,"['Cyprus', 'Spain', 'Morocco', 'Korea, Republic of', 'Sri Lanka', 'Sao Tome and Principe']"
2538.135816639048,"['Malawi', 'Guinea', 'Uruguay', 'Tunisia', 'Ireland', 'Greece']"
2538.135816639048,"['Guinea', 'Malawi', 'Uruguay', 'Tunisia', 'Ireland', 'Greece']"
2538.0042387041085,"['Portugal', 'Latvia', 'Nigeria', 'Korea, Republic of', 'Tunisia', 'Georgia']"
2537.3363326767685,"['Montenegro', 'Morocco', 'Ireland', 'Nigeria', 'Korea, Republic of', 'Georgia']"
2535.636734464567,"['Philippines', 'Korea, Republic of', 'Egypt', 'Greece', 'Ireland', ""Korea, Democratic People's Republic""]"
2532.9634966512754,"['Cape Verde', 'Uruguay', 'Paraguay', 'Tunisia', 'Ireland', 'Greece']"
2528.7170605859933,"['Finland', 'Estonia', 'Korea, Republic of', 'Malaysia', 'Tunisia', ""Korea, Democratic People's Republic""]"
2528.7170605859933,"['Estonia', 'Finland', 'Korea, Republic of', 'Malaysia', 'Tunisia', ""Korea, Democratic People's Republic""]"
2528.582637095369,"['United Arab Emirates', 'Uruguay', 'Paraguay', 'Tunisia', 'Ireland', 'Greece']"
2524.9876307769296,"['Saint Vincent and the Grenadines', 'Korea, Republic of', 'Tunisia', 'Ireland', 'Greece', ""Korea, Democratic People's Republic""]"
2524.722373777172,"['Burkina Faso', 'Senegal', 'Tunisia', 'Uruguay', 'Ireland', 'Greece']"
